,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Number of Employees,Employee Training,Known Vulnerabilities,External Advisor,Risk
1720,1424853,44,6,5111477,221,LOW,0,NO,HIGH
1721,805748,8,12,4923530,171,LOW,0,NO,MEDIUM
1722,369789,37,16,5012654,3660,HIGH,7,YES,MEDIUM
1723,1312342,13,26,4945165,9700,LOW,3,YES,MEDIUM
1724,1425849,28,44,5007866,4295,HIGH,2,YES,LOW
1725,995837,8,21,5085099,3643,LOW,3,NO,HIGH
1726,567320,28,34,4973367,8023,HIGH,6,YES,LOW
1727,999711,26,20,4957850,3773,LOW,9,NO,HIGH
1728,651199,6,27,4992033,5627,MEDIUM,8,NO,HIGH
1729,1311123,27,43,5050285,407,HIGH,7,NO,HIGH
1730,697202,10,48,5001495,7083,HIGH,9,NO,MEDIUM
1731,807614,20,23,5080527,9244,MEDIUM,0,NO,MEDIUM
1732,235009,33,19,5025797,7685,MEDIUM,7,YES,MEDIUM
1733,267084,26,28,5036005,6995,LOW,8,YES,HIGH
1734,1182655,6,43,5007716,1410,LOW,4,YES,MEDIUM
1735,1071615,14,42,4966763,6520,HIGH,6,NO,MEDIUM
1736,208698,25,13,4943786,4346,LOW,4,YES,MEDIUM
1737,1059027,10,34,4994493,1815,LOW,5,YES,MEDIUM
1738,381379,1,44,4922238,1984,MEDIUM,0,YES,LOW
1739,1419033,33,0,5035815,5600,HIGH,8,YES,MEDIUM
1740,221570,14,20,4996008,5997,LOW,4,NO,HIGH
1741,1201566,37,31,5012566,485,MEDIUM,6,YES,HIGH
1742,933039,30,44,4947449,3975,HIGH,1,YES,LOW
1743,1460494,11,29,4943075,4573,MEDIUM,7,YES,MEDIUM
1744,1248244,29,2,4894940,7666,HIGH,6,YES,LOW
1745,1198790,31,41,4973320,1606,LOW,4,YES,MEDIUM
1746,1327857,22,38,5042649,5528,MEDIUM,9,NO,HIGH
1747,324745,40,26,5025113,8471,LOW,2,YES,MEDIUM
1748,1440530,23,26,5020983,3045,MEDIUM,8,YES,MEDIUM
1749,982153,1,46,4837181,4567,HIGH,9,YES,LOW
1750,382825,48,14,5034662,9335,MEDIUM,0,YES,LOW
1751,1279569,27,37,5068182,6772,MEDIUM,9,YES,MEDIUM
1752,642351,36,42,5018089,6928,LOW,0,NO,HIGH
1753,839347,25,6,4930457,1918,MEDIUM,8,NO,HIGH
1754,327762,40,43,4927120,8093,MEDIUM,9,YES,MEDIUM
1755,1083741,18,31,4968726,807,HIGH,1,NO,HIGH
1756,938713,39,28,4977679,8608,LOW,2,NO,HIGH
1757,227158,31,32,5000994,8713,HIGH,4,YES,LOW
1758,1472020,15,38,4983894,7215,LOW,6,YES,MEDIUM
1759,1283718,37,11,4907020,5792,LOW,0,NO,HIGH
1760,122509,17,33,4894339,7078,MEDIUM,6,YES,MEDIUM
1761,1307280,16,40,5009619,2928,HIGH,1,YES,LOW
1762,1459346,46,20,5008579,9843,LOW,0,NO,HIGH
1763,277130,46,30,5067480,1290,HIGH,5,YES,HIGH
1764,585931,33,29,5019341,5990,MEDIUM,8,NO,HIGH
1765,71608,48,4,4926579,7454,MEDIUM,7,YES,MEDIUM
1766,512619,42,21,4989527,6311,LOW,9,NO,HIGH
1767,1255603,29,48,4995198,2327,MEDIUM,1,YES,MEDIUM
1768,1476717,28,44,5055148,9109,LOW,7,NO,HIGH
1769,210009,8,21,5022378,6680,MEDIUM,8,YES,MEDIUM
1770,1427944,26,45,5070877,3786,MEDIUM,0,YES,LOW
1771,834989,14,24,5055406,4214,LOW,2,YES,MEDIUM
1772,999267,42,33,5012194,6614,HIGH,7,YES,MEDIUM
1773,1144518,27,49,5023467,2651,MEDIUM,3,NO,HIGH
1774,1118170,3,10,5003087,9959,MEDIUM,2,NO,MEDIUM
1775,3605,39,41,5047128,3665,MEDIUM,4,YES,MEDIUM
1776,204083,0,26,4934901,2669,LOW,6,NO,HIGH
1777,1080516,14,2,5067399,6999,MEDIUM,0,NO,MEDIUM
1778,757157,29,24,5033371,8072,HIGH,9,NO,MEDIUM
1779,747812,19,17,4866926,3263,HIGH,5,NO,HIGH
1780,527214,32,1,5042565,4010,MEDIUM,0,YES,MEDIUM
1781,11253,6,43,5063494,7688,HIGH,0,YES,LOW
1782,1291154,47,15,5002618,1396,MEDIUM,7,YES,HIGH
1783,309934,27,21,4937692,2555,LOW,1,YES,MEDIUM
1784,746198,26,12,4937078,9635,HIGH,3,NO,LOW
1785,1083164,26,41,5069396,5582,LOW,8,NO,HIGH
1786,802366,44,45,5043100,5040,MEDIUM,7,YES,MEDIUM
1787,735067,38,30,5064512,2753,MEDIUM,3,NO,HIGH
1788,830852,18,4,5000921,4740,LOW,3,NO,HIGH
1789,974283,38,7,4988255,2717,HIGH,0,YES,MEDIUM
1790,1435073,38,32,4964457,570,LOW,2,YES,MEDIUM
1791,1062179,17,5,4918487,9676,HIGH,8,NO,LOW
1792,526753,37,43,4996149,3144,HIGH,6,YES,MEDIUM
1793,1349800,31,23,4951164,6956,MEDIUM,7,YES,MEDIUM
1794,1381814,9,27,4985103,8059,HIGH,1,NO,LOW
1795,109896,32,22,4895261,3880,LOW,9,YES,HIGH
1796,1348789,16,15,5013668,9920,MEDIUM,6,NO,MEDIUM
1797,683489,11,0,5006613,1032,MEDIUM,7,YES,MEDIUM
1798,1185915,39,20,5006330,4643,HIGH,9,NO,HIGH
1799,739363,7,24,4981180,3420,MEDIUM,6,NO,HIGH
1800,845022,39,17,4965996,7796,MEDIUM,0,YES,LOW
1801,503890,46,37,4985311,4921,HIGH,6,NO,HIGH
1802,911529,44,14,5008217,3248,LOW,0,NO,HIGH
1803,998273,39,29,5099049,5294,LOW,5,NO,HIGH
1804,176275,22,41,4989805,9392,MEDIUM,5,YES,LOW
1805,405037,33,48,4865666,7807,HIGH,4,YES,LOW
1806,1259245,35,36,4954309,9357,LOW,7,YES,HIGH
1807,241167,44,5,5047096,8330,MEDIUM,3,YES,MEDIUM
1808,1238706,38,24,4951497,4386,HIGH,4,YES,MEDIUM
1809,1125478,47,8,4994577,9178,MEDIUM,1,NO,MEDIUM
1810,143213,17,25,4918731,442,HIGH,5,YES,MEDIUM
1811,1324850,9,45,5062109,316,MEDIUM,4,NO,HIGH
1812,294803,16,18,4984561,757,MEDIUM,6,NO,HIGH
1813,1224730,30,34,5057794,4578,HIGH,5,NO,MEDIUM
1814,445367,40,37,4945218,998,HIGH,8,NO,HIGH
1815,443985,47,12,5081675,6175,MEDIUM,4,YES,MEDIUM
1816,1293709,43,11,4986731,4630,LOW,9,NO,HIGH
1817,179730,1,4,4958567,7565,MEDIUM,3,YES,LOW
1818,1010832,10,28,5006527,6384,HIGH,4,YES,LOW
1819,376077,30,2,4947711,6402,LOW,7,NO,HIGH
1820,1321086,33,35,4979244,8844,HIGH,5,NO,MEDIUM
1821,541109,24,4,4992165,554,HIGH,4,NO,HIGH
1822,579644,7,27,4995729,5773,HIGH,5,NO,MEDIUM
1823,750542,8,36,4970436,2417,HIGH,9,NO,HIGH
1824,1402329,35,32,5052371,2235,MEDIUM,4,YES,MEDIUM
1825,670345,5,32,4949569,9747,LOW,5,NO,HIGH
1826,206191,28,29,5012948,6754,MEDIUM,7,NO,HIGH
1827,227864,47,48,5067991,8498,MEDIUM,1,NO,HIGH
1828,1304188,24,18,5016630,6706,MEDIUM,2,NO,MEDIUM
1829,446622,22,39,4935560,2027,HIGH,4,YES,MEDIUM
1830,885027,20,33,4898951,8834,LOW,7,NO,HIGH
1831,663242,35,6,4950263,6649,MEDIUM,8,YES,MEDIUM
1832,1331624,5,14,5042168,8266,MEDIUM,2,NO,MEDIUM
1833,602457,36,7,4984949,1743,HIGH,4,YES,MEDIUM
1834,723163,34,23,5031221,5252,HIGH,4,YES,LOW
1835,695633,13,9,5055988,6661,MEDIUM,2,NO,MEDIUM
1836,365888,3,46,5046977,3082,LOW,5,NO,HIGH
1837,391710,41,15,4951144,5467,HIGH,0,NO,MEDIUM
1838,1178751,6,49,4940779,7879,HIGH,9,NO,MEDIUM
1839,1525449,28,48,5092351,3175,MEDIUM,2,YES,MEDIUM
1840,620538,29,43,5034932,4260,MEDIUM,5,YES,MEDIUM
1841,732373,5,30,4949173,8678,LOW,4,YES,MEDIUM
1842,270808,45,17,5002747,2558,HIGH,5,YES,MEDIUM
1843,1391095,11,37,5016002,6269,MEDIUM,1,NO,MEDIUM
1844,218789,29,16,5001594,3396,LOW,0,YES,MEDIUM
1845,1273023,6,23,4883360,3544,HIGH,6,YES,LOW
1846,141315,46,12,5058079,6717,MEDIUM,3,NO,HIGH
1847,1142664,0,29,4997079,5820,HIGH,1,YES,LOW
1848,385132,36,47,5076502,3846,MEDIUM,0,NO,HIGH
1849,1173006,20,43,5014693,4079,MEDIUM,4,YES,MEDIUM
1850,1198746,16,35,4878219,6388,MEDIUM,9,NO,HIGH
1851,482162,46,15,5031256,5665,HIGH,9,NO,HIGH
1852,1483985,0,43,5033665,8243,LOW,5,YES,MEDIUM
1853,284646,33,36,4978182,2924,MEDIUM,5,NO,HIGH
1854,852126,15,7,5007033,7780,HIGH,0,NO,LOW
1855,1387762,7,39,5032759,8060,MEDIUM,4,NO,MEDIUM
1856,891226,31,28,5091894,8840,LOW,5,YES,MEDIUM
1857,602295,12,31,5074640,1652,LOW,9,NO,HIGH
1858,47069,32,4,4959909,5702,HIGH,1,NO,MEDIUM
1859,282960,6,32,4919451,6633,MEDIUM,0,YES,LOW
1860,738600,44,20,5030466,3831,MEDIUM,6,YES,MEDIUM
1861,449667,1,32,4963264,5389,LOW,1,NO,HIGH
1862,1417413,48,46,4947549,9257,HIGH,8,YES,LOW
1863,926248,39,38,5003683,4636,HIGH,3,NO,MEDIUM
1864,435360,14,12,5015889,5475,LOW,9,YES,HIGH
1865,414160,32,31,4918272,4964,LOW,8,NO,HIGH
1866,560539,2,14,5011428,7090,LOW,1,NO,HIGH
1867,770093,10,25,5070548,4598,MEDIUM,0,NO,MEDIUM
1868,909193,32,13,4970533,7234,HIGH,5,NO,MEDIUM
1869,464934,29,46,5026374,3444,MEDIUM,3,NO,HIGH
1870,761983,25,47,5026980,4932,MEDIUM,4,YES,MEDIUM
1871,989152,36,47,5034409,6146,HIGH,6,NO,MEDIUM
1872,1266388,35,41,5013847,2347,LOW,5,NO,HIGH
1873,1428106,43,20,4986843,3172,HIGH,2,YES,MEDIUM
1874,1256822,31,26,4997595,4312,LOW,5,NO,HIGH
1875,270692,13,48,4994730,6915,HIGH,5,NO,MEDIUM
1876,771387,29,38,5015603,8101,HIGH,2,NO,MEDIUM
1877,992817,36,13,5002595,7706,MEDIUM,9,YES,MEDIUM
1878,153478,7,26,5048663,7326,HIGH,2,NO,LOW
1879,334078,11,40,5024707,8363,MEDIUM,0,NO,MEDIUM
1880,611600,2,48,5034491,2740,LOW,2,NO,HIGH
1881,887496,36,31,4986918,7921,LOW,7,YES,HIGH
1882,758882,24,38,5014645,2312,HIGH,5,YES,MEDIUM
1883,1363748,29,33,4986767,6128,LOW,7,NO,HIGH
1884,1320935,36,33,4966745,6399,HIGH,2,NO,MEDIUM
1885,644500,23,46,5044433,8073,HIGH,5,NO,MEDIUM
1886,593916,9,44,4993559,6612,MEDIUM,7,NO,HIGH
1887,186132,14,42,4965694,2794,HIGH,6,YES,MEDIUM
1888,425095,25,11,5112085,6310,HIGH,1,YES,LOW
1889,1261494,39,7,5062035,688,LOW,9,YES,HIGH
1890,1241585,49,18,4983257,2681,MEDIUM,5,YES,MEDIUM
1891,883530,1,6,4986053,4637,MEDIUM,6,NO,MEDIUM
1892,226943,38,35,4992660,9618,HIGH,3,YES,LOW
1893,282149,41,49,5015996,3440,HIGH,1,YES,MEDIUM
1894,1518948,32,9,5066488,6977,HIGH,3,NO,MEDIUM
1895,720392,37,36,4972123,961,HIGH,3,YES,MEDIUM
1896,1396656,42,49,5023325,8526,HIGH,9,NO,MEDIUM
1897,1325040,15,0,5069508,4434,MEDIUM,1,NO,MEDIUM
1898,1019955,30,6,5034104,3650,LOW,0,YES,MEDIUM
1899,50703,44,5,5066838,598,MEDIUM,1,NO,HIGH
1900,158313,18,46,4945056,5649,HIGH,0,YES,LOW
1901,1362783,8,38,4901434,3149,LOW,5,NO,HIGH
1902,338993,46,6,4998369,4143,HIGH,6,NO,HIGH
1903,1186241,49,28,4966416,2447,HIGH,1,NO,HIGH
1904,1488855,28,27,5040015,3768,HIGH,7,YES,MEDIUM
1905,732029,8,17,5044586,5599,LOW,3,NO,HIGH
1906,1177522,1,35,4932219,5604,LOW,6,NO,HIGH
1907,753627,14,26,5024110,5645,MEDIUM,9,NO,HIGH
1908,1274573,7,14,5042636,6090,LOW,0,NO,MEDIUM
1909,1246121,6,6,5005723,6261,HIGH,3,YES,LOW
1910,215342,36,9,5038790,5236,MEDIUM,5,YES,MEDIUM
1911,214520,38,12,5053358,6846,LOW,2,YES,MEDIUM
1912,1460250,7,28,5036226,505,MEDIUM,2,YES,LOW
1913,440477,24,42,4981329,1282,MEDIUM,5,NO,HIGH
1914,455120,7,48,4925130,1063,HIGH,3,NO,HIGH
1915,975223,10,5,5001339,8443,HIGH,1,NO,LOW
1916,500309,1,18,5102473,8727,HIGH,4,YES,LOW
1917,576544,43,43,4974302,5901,MEDIUM,8,NO,HIGH
1918,109854,48,41,5033265,6447,MEDIUM,4,YES,MEDIUM
1919,677098,25,47,5102637,6596,HIGH,9,NO,MEDIUM
1920,1093074,42,12,5001176,6036,LOW,3,YES,MEDIUM
1921,442996,7,27,5002782,1111,MEDIUM,1,NO,HIGH
1922,781975,28,21,5091400,49,MEDIUM,0,YES,MEDIUM
1923,508303,37,32,5006153,6686,LOW,1,YES,MEDIUM
1924,501622,37,21,4996227,5539,LOW,0,YES,MEDIUM
1925,124621,16,5,4950745,5448,MEDIUM,6,YES,MEDIUM
1926,752096,26,48,5003114,6853,MEDIUM,9,NO,HIGH
1927,597378,2,36,5114201,969,MEDIUM,9,NO,HIGH
1928,437828,4,20,5017453,2057,LOW,3,YES,MEDIUM
1929,574623,14,45,5025901,9621,LOW,2,NO,HIGH
1930,79042,0,1,5028555,1743,HIGH,1,NO,MEDIUM
1931,652031,16,49,4984304,5565,MEDIUM,3,YES,LOW
1932,142802,18,8,4913114,9471,HIGH,0,YES,LOW
1933,535115,31,13,4980823,8562,LOW,2,NO,HIGH
1934,894942,12,38,4950698,480,MEDIUM,6,NO,HIGH
1935,295926,33,42,4949748,3085,LOW,8,NO,HIGH
1936,1478135,38,1,4951017,4504,LOW,5,YES,MEDIUM
1937,444925,19,18,5029843,807,LOW,0,NO,HIGH
1938,619696,5,36,5050117,4323,LOW,7,YES,MEDIUM
1939,69571,19,46,5028127,547,MEDIUM,5,NO,HIGH
1940,873176,28,3,4951844,1335,MEDIUM,0,YES,MEDIUM
1941,1274409,27,25,4887447,5924,MEDIUM,0,YES,LOW
1942,653974,32,37,5031351,5997,MEDIUM,3,NO,HIGH
1943,51287,1,5,4972958,6087,MEDIUM,7,NO,HIGH
1944,508603,28,44,5029906,9725,LOW,0,NO,HIGH
1945,651975,15,45,5004958,8167,HIGH,0,NO,LOW
1946,856789,12,13,4901047,2486,LOW,3,YES,MEDIUM
1947,168098,7,47,4978130,5214,LOW,6,YES,MEDIUM
1948,123143,45,44,5009590,524,MEDIUM,8,YES,HIGH
1949,326905,28,5,5025452,6300,MEDIUM,3,YES,MEDIUM
1950,190401,32,47,5010486,8301,LOW,2,NO,HIGH
1951,838592,15,0,4955218,5279,HIGH,2,NO,MEDIUM
1952,901313,18,37,4931194,1700,HIGH,2,YES,MEDIUM
1953,1259487,13,1,5071695,890,MEDIUM,6,YES,MEDIUM
1954,148809,47,47,4962659,7004,MEDIUM,1,YES,MEDIUM
1955,682889,20,40,4969507,886,HIGH,5,YES,MEDIUM
1956,1146339,41,9,5066590,1432,MEDIUM,5,YES,MEDIUM
1957,1057390,11,31,4999326,6332,LOW,1,NO,HIGH
1958,189634,5,3,5068788,9799,LOW,9,YES,MEDIUM
1959,1147357,49,45,4986359,7598,HIGH,5,NO,MEDIUM
1960,1078521,23,3,4951668,3040,MEDIUM,0,NO,MEDIUM
1961,554647,39,14,5037832,520,HIGH,4,YES,MEDIUM
1962,60906,13,16,4962778,6515,MEDIUM,3,YES,LOW
1963,1467813,23,29,5071499,2818,MEDIUM,8,NO,HIGH
1964,225326,43,31,4909344,1994,MEDIUM,6,NO,HIGH
1965,1211021,44,44,5012935,7203,MEDIUM,7,NO,HIGH
1966,265518,24,1,5020676,8242,HIGH,4,YES,LOW
1967,1303877,19,29,5030274,522,LOW,5,YES,MEDIUM
1968,327424,25,5,4988256,2377,HIGH,6,YES,MEDIUM
1969,1279684,5,34,5027881,196,MEDIUM,3,YES,MEDIUM
1970,1319708,16,38,4920882,6043,LOW,1,NO,HIGH
1971,139797,13,40,5058455,1538,HIGH,5,YES,MEDIUM
1972,299858,11,21,4908708,7165,HIGH,9,YES,LOW
1973,529514,44,9,4991800,3095,HIGH,5,NO,HIGH
1974,1264954,38,22,5024217,2180,LOW,5,NO,HIGH
1975,793944,49,20,5018353,3522,HIGH,4,NO,HIGH
1976,681313,25,10,4971581,246,LOW,6,NO,HIGH
1977,991612,38,29,5064784,5865,HIGH,9,YES,MEDIUM
1978,603956,20,33,4959932,2479,MEDIUM,1,NO,HIGH
1979,1112437,19,6,5019818,965,LOW,5,YES,MEDIUM
1980,1151686,4,24,5116443,9668,LOW,3,NO,HIGH
1981,162732,9,39,4922672,8238,MEDIUM,2,NO,MEDIUM
1982,1291830,11,21,4947050,9294,HIGH,8,YES,LOW
1983,521677,41,20,5035844,2411,MEDIUM,0,NO,HIGH
1984,1067724,19,27,4986153,9902,MEDIUM,2,YES,LOW
1985,711887,15,37,4939918,1863,HIGH,6,YES,MEDIUM
1986,305955,2,26,4957143,2426,HIGH,8,NO,HIGH
1987,834180,47,49,4986517,4883,LOW,0,NO,HIGH
1988,406443,6,11,4982218,5278,MEDIUM,3,YES,LOW
1989,793878,33,34,4988241,2634,LOW,1,YES,MEDIUM
1990,708214,9,49,4983993,330,HIGH,4,YES,MEDIUM
1991,908926,5,10,5008759,5023,MEDIUM,6,YES,MEDIUM
1992,1161400,46,29,4969225,4303,LOW,8,YES,HIGH
1993,1452882,49,13,4998604,6525,MEDIUM,7,YES,MEDIUM
1994,130127,36,25,5093970,2685,HIGH,7,YES,MEDIUM
1995,1291937,33,29,5046223,8342,HIGH,3,YES,LOW
1996,1286565,45,31,4942759,7074,HIGH,2,NO,MEDIUM
1997,535566,39,49,4978730,787,LOW,5,NO,HIGH
1998,777278,33,19,5118167,9262,HIGH,3,YES,LOW
1999,1234611,16,5,5073134,777,MEDIUM,9,YES,MEDIUM
2000,1398502,5,27,5022624,6899,LOW,4,YES,MEDIUM
2001,1391157,6,36,4985598,7008,HIGH,2,YES,LOW
2002,873869,1,35,5092235,830,MEDIUM,3,YES,MEDIUM
2003,344556,23,40,5120266,795,HIGH,5,YES,MEDIUM
2004,988148,6,20,5008396,1804,LOW,4,NO,HIGH
2005,1388735,9,26,5017462,445,LOW,9,NO,HIGH
2006,1245817,4,14,4952302,4461,HIGH,3,NO,MEDIUM
2007,92930,25,39,4958026,7283,LOW,9,YES,HIGH
2008,1282197,47,45,4956399,2217,MEDIUM,7,NO,HIGH
2009,206615,37,19,5032307,4887,MEDIUM,9,NO,HIGH
2010,849886,16,11,4976894,9311,MEDIUM,0,NO,MEDIUM
2011,971379,8,4,4995282,253,MEDIUM,2,NO,HIGH
2012,1043020,39,19,5055585,99,LOW,4,YES,MEDIUM
2013,704908,44,24,4940374,1491,MEDIUM,8,YES,HIGH
2014,842619,38,36,5030907,3384,LOW,9,YES,HIGH
2015,1088146,27,0,5089547,8212,HIGH,6,YES,LOW
2016,1244192,41,21,5012914,7228,HIGH,3,YES,LOW
2017,1275776,26,44,4976275,4915,HIGH,9,YES,MEDIUM
2018,1171907,11,2,5042047,3328,LOW,1,NO,HIGH
2019,504671,5,25,4957012,4044,MEDIUM,2,YES,LOW
2020,1266150,17,28,4992168,2687,MEDIUM,3,YES,MEDIUM
2021,1433634,48,9,4994577,4627,MEDIUM,2,YES,MEDIUM
2022,1032331,36,26,5000486,8869,HIGH,2,NO,LOW
2023,383493,26,7,4996599,2706,HIGH,3,YES,MEDIUM
2024,1479146,42,6,5032573,3940,HIGH,9,NO,HIGH
2025,1140790,42,21,4959256,719,HIGH,8,NO,HIGH
2026,593234,15,38,5043103,4314,HIGH,9,NO,HIGH
2027,432624,23,11,5007666,920,MEDIUM,2,NO,HIGH
2028,1000667,3,1,4932801,2543,HIGH,0,YES,LOW
2029,1155947,18,40,5005864,4029,LOW,7,YES,MEDIUM
2030,191188,37,33,5050519,3986,MEDIUM,2,YES,MEDIUM
2031,1468387,41,49,4968480,569,HIGH,8,YES,HIGH
2032,1271665,19,36,5040455,9248,LOW,2,NO,HIGH
2033,952150,40,21,4992096,8371,HIGH,2,NO,MEDIUM
2034,175421,33,45,5030824,9102,LOW,8,NO,HIGH
2035,529038,42,25,4995569,3526,MEDIUM,5,NO,HIGH
2036,1042162,2,38,5126714,8378,LOW,5,YES,MEDIUM
2037,1171993,16,42,4971852,8380,HIGH,6,NO,MEDIUM
2038,1484775,43,39,4992564,9191,MEDIUM,9,YES,MEDIUM
2039,901855,16,48,5053106,7272,LOW,8,NO,HIGH
2040,983471,16,32,4975841,8145,MEDIUM,9,NO,HIGH
2041,924386,21,48,4997975,4494,LOW,0,YES,MEDIUM
2042,190966,47,1,4978577,5891,HIGH,6,NO,HIGH
2043,1017456,37,18,4966480,8614,HIGH,8,YES,LOW
2044,1475346,38,3,5033147,4901,MEDIUM,1,NO,HIGH
2045,1405184,38,28,4931895,62,MEDIUM,6,NO,HIGH
2046,974534,11,25,4949960,2777,HIGH,3,NO,MEDIUM
2047,220355,42,26,5056062,5330,MEDIUM,5,YES,MEDIUM
2048,946784,40,22,5048273,8983,HIGH,3,YES,LOW
2049,1376251,36,15,5006135,4907,MEDIUM,5,YES,MEDIUM
2050,766014,48,9,4935654,1120,LOW,1,YES,MEDIUM
2051,850658,29,27,4995730,8713,MEDIUM,5,NO,HIGH
2052,915350,20,25,5041889,5133,LOW,3,NO,HIGH
2053,180410,44,47,5012742,8329,MEDIUM,8,YES,MEDIUM
2054,1166532,15,0,5060837,6876,LOW,2,YES,MEDIUM
2055,830491,10,25,4975781,5754,MEDIUM,1,NO,MEDIUM
2056,1444335,5,20,4976549,4077,LOW,7,YES,MEDIUM
2057,1018611,14,7,5026865,5868,LOW,1,NO,HIGH
2058,1259637,41,45,4914091,4535,MEDIUM,9,NO,HIGH
2059,433870,6,4,4988147,9173,HIGH,6,YES,LOW
2060,729768,30,15,4954332,216,MEDIUM,2,YES,MEDIUM
2061,547299,19,18,4960190,1661,HIGH,3,YES,MEDIUM
2062,519540,49,30,4876390,6816,MEDIUM,1,NO,HIGH
2063,1091245,33,4,4917402,4789,LOW,9,NO,HIGH
2064,29551,21,7,4929508,5759,LOW,1,NO,HIGH
2065,170920,1,23,4979507,2364,MEDIUM,1,NO,MEDIUM
2066,546081,2,2,4992664,9898,HIGH,6,NO,LOW
2067,1363168,20,1,5002678,5113,HIGH,4,YES,LOW
2068,903781,42,22,5058443,7026,HIGH,3,YES,LOW
2069,188350,16,1,4988127,807,LOW,1,YES,MEDIUM
2070,1459203,25,16,5059486,4549,HIGH,7,YES,MEDIUM
2071,458779,44,31,4965870,6087,MEDIUM,1,YES,MEDIUM
2072,808095,33,35,4978228,6471,LOW,3,NO,HIGH
2073,1239533,43,6,5081765,2913,LOW,4,YES,HIGH
2074,810039,36,11,4976318,7245,MEDIUM,7,YES,MEDIUM
2075,28712,18,3,4988281,1518,MEDIUM,9,YES,HIGH
2076,1146057,42,17,5039447,8863,LOW,3,NO,HIGH
2077,673298,26,45,4968814,8112,MEDIUM,7,YES,MEDIUM
2078,981620,49,43,5005212,3082,MEDIUM,0,NO,HIGH
2079,1240616,15,23,4944096,4695,HIGH,8,YES,LOW
2080,1331811,39,23,4984177,310,HIGH,8,NO,HIGH
2081,870432,41,10,5059320,6516,LOW,1,YES,MEDIUM
2082,1090406,38,13,5049494,1218,MEDIUM,7,NO,HIGH
2083,845680,45,30,4994672,5067,LOW,2,YES,MEDIUM
2084,1047720,16,37,5050637,2931,MEDIUM,6,YES,MEDIUM
2085,117304,7,24,4940157,6793,LOW,9,YES,HIGH
2086,1087969,44,35,5031982,7392,MEDIUM,4,YES,MEDIUM
2087,864704,21,12,4986792,1164,LOW,8,YES,HIGH
2088,1227325,19,49,4909027,7440,MEDIUM,8,YES,MEDIUM
2089,1116839,2,38,5010021,8429,LOW,0,NO,MEDIUM
2090,1381363,4,25,5064634,8276,LOW,5,NO,HIGH
2091,670035,6,20,5108482,3501,HIGH,2,YES,LOW
2092,746098,43,18,5034237,8988,MEDIUM,2,NO,HIGH
2093,115078,28,12,4895940,4974,HIGH,0,NO,MEDIUM
2094,1218578,26,32,4995908,5674,HIGH,0,NO,MEDIUM
2095,207394,1,8,5089000,5993,LOW,6,YES,MEDIUM
2096,1331508,28,2,5011642,3111,MEDIUM,0,YES,LOW
2097,691329,6,3,5007049,3925,HIGH,4,NO,MEDIUM
2098,399210,17,20,4991389,7735,HIGH,3,NO,MEDIUM
2099,847923,48,20,4976950,2573,LOW,3,NO,HIGH
2100,732486,49,18,4929978,6634,HIGH,4,NO,MEDIUM
2101,1455411,47,10,4997175,8450,HIGH,2,YES,LOW
2102,892700,16,37,4944306,4309,LOW,1,YES,MEDIUM
2103,535275,31,5,5018530,8200,MEDIUM,8,YES,MEDIUM
2104,1459376,18,16,5004598,7574,LOW,1,NO,HIGH
2105,385915,48,31,4997574,5495,LOW,3,NO,HIGH
2106,860247,28,1,5084108,7620,MEDIUM,4,YES,MEDIUM
2107,933387,4,5,5020966,7026,HIGH,1,YES,LOW
2108,1220192,12,14,5083100,5213,LOW,1,YES,MEDIUM
2109,437347,7,47,4927487,895,HIGH,9,NO,HIGH
2110,1422046,36,37,4963912,7634,HIGH,2,YES,LOW
2111,192419,5,1,5024586,4963,MEDIUM,4,NO,MEDIUM
2112,451202,11,7,5026670,947,HIGH,3,NO,HIGH
2113,456590,30,40,5013202,9618,MEDIUM,4,YES,LOW
2114,3444,45,12,4962347,822,LOW,0,NO,HIGH
2115,613220,24,40,4984984,7411,MEDIUM,1,YES,LOW
2116,27827,6,4,5043164,4420,HIGH,0,NO,MEDIUM
2117,1342201,49,9,5020649,5913,LOW,3,NO,HIGH
2118,1230896,33,35,5058981,7601,MEDIUM,9,NO,HIGH
2119,1037141,9,19,4974987,8658,LOW,7,NO,HIGH
2120,135654,42,10,5015178,6397,MEDIUM,8,NO,HIGH
2121,78294,1,39,4965690,9369,HIGH,0,YES,LOW
2122,607100,14,21,4961688,9270,LOW,8,YES,MEDIUM
2123,996101,12,38,4995508,3333,LOW,6,YES,MEDIUM
2124,908650,40,23,4972038,3039,LOW,8,NO,HIGH
2125,1120259,43,27,5029583,9135,MEDIUM,4,NO,HIGH
2126,674168,2,5,5085755,2808,LOW,3,NO,HIGH
2127,400854,36,8,5009208,1923,MEDIUM,7,YES,HIGH
2128,418658,36,7,4978562,7253,LOW,4,YES,HIGH
2129,1320676,21,0,5056797,5137,LOW,0,NO,HIGH
2130,1233768,0,34,5031058,5000,MEDIUM,9,YES,MEDIUM
2131,452498,29,41,4990600,5886,LOW,6,YES,HIGH
2132,657270,35,31,5049736,5466,LOW,8,YES,HIGH
2133,1471239,38,34,5034129,9487,LOW,0,YES,MEDIUM
2134,58660,22,29,4974325,2674,LOW,7,NO,HIGH
2135,967125,15,23,4944924,7589,MEDIUM,7,NO,HIGH
2136,1309362,0,18,5057132,481,HIGH,4,NO,HIGH
